trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
11,trial_011_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.12444622127259208,995,481,0.33135439999750815,7995.421554990499,3.001717900042422,7995.421554990499,144,3379,1710.7565,863.285489540358,369.45013291491864,255.1763649388084,31.352332295354458,739.1840753400049,981.7004898167352,120.6169700654967,1108.9762824545794,189.2483534427584,23.2520643708867,8.138991464332573
12,trial_012_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.08102052270068089,648,134,0.07840519997989759,7997.97358002671,3.000760100025218,7997.97358002671,139,3380,1707.7030833333333,852.6138821931634,369.91850903037476,283.23912029655474,30.534352489857397,739.6561354200197,968.5762166759887,104.41653533703929,1109.5588340332156,233.79084476419533,25.20362319815574,9.276080781167321
13,trial_013_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452839075092925,516,2,0.0017132999782916158,7996.480215843121,3.001320500043221,7996.480215843121,129,3387,1699.47325,847.9365302796814,370.4827933098202,265.72868757814643,57.05986276444389,740.1196707980505,930.9575357929637,199.90430734449612,,0.0,0.0,4.657015890051032
14,trial_014_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06450514709914569,516,2,0.0017686999926809222,7999.361651046199,3.0002393999602646,7999.361651046199,129,3374,1699.2105833333333,852.1753884081131,370.48473493303584,290.8051729281052,52.60337079872628,740.480535136208,946.0276270053063,171.1257112386453,,0.0,0.0,5.528261183884943
15,trial_015_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452140754906577,516,2,0.0021225000091362745,7997.345681084283,3.0009956999565475,7997.345681084283,135,3371,1697.068,855.4611969790413,370.2304753100629,274.390631554638,47.69789522544584,740.1255196119616,969.6979329052091,168.5646122172143,,0.0,0.0,5.752677979976279
16,trial_016_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06451693125002203,516,2,0.0018282000091858208,7997.900551102604,3.0007875000010245,7997.900551102604,137,3359,1691.2442083333333,846.4736302080333,370.55938576219114,286.39698832653954,47.71950544483362,740.3933692541694,957.7796929096168,159.5853836934926,,0.0,0.0,6.001675534077575
17,trial_017_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06489859720093955,519,5,0.00287880000541918,7997.091191248219,3.0010912000434473,7997.091191248219,115,3351,1689.9801666666667,852.7098389992943,369.700213730704,292.8104043604691,31.87816958761231,739.5359901761647,980.6036522792763,106.7579876263817,1108.719528465329,238.05488135630446,25.916954336407187,9.185295396453807
18,trial_018_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06450362060003681,516,2,0.0016228000167757273,7999.550958534962,3.000168400001712,7999.550958534962,123,3346,1691.69425,864.980691981137,370.0190617161368,293.9483161595555,55.87122664518732,740.41009642408,933.739296232758,177.47732162214749,,0.0,0.0,5.261175274104633
19,trial_019_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06453703160039731,516,2,0.001487100002123043,7995.409568803647,3.0017224000184797,7995.409568803647,112,3349,1685.55375,862.2477709423442,370.0570382774956,278.1008721172918,59.954650283002174,740.1588879788878,921.6267186768555,198.68980341218426,,0.0,0.0,4.638520461792044
20,trial_020_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.0892589398738055,714,200,0.13019309999071993,7999.198747032565,3.000300499959849,7999.198747032565,125,3351,1695.6467916666666,891.6509587156554,369.84262888328067,269.7986629030754,32.49638920361615,739.5271247467603,964.0027622724584,116.11106081508223,1109.466337947463,225.8523840081656,27.203199950366614,8.302419730775894
21,trial_021_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452729210007238,516,2,0.0018097000138368458,7996.616365053094,3.001269400003366,7996.616365053094,112,3349,1690.8467083333333,868.7786957721689,369.3544248070245,260.94557300181435,36.08733245806859,740.2961680118821,934.0428512074752,129.17297087608412,,0.0,0.0,7.23094657398183
22,trial_022_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06450913749949541,516,2,0.001215199998114258,7998.866827262047,3.0004249999765307,7998.866827262047,119,3354,1688.5235,864.0930596479403,370.01704260346094,272.1818025245443,40.92538833760284,740.4179021969188,928.3941504089165,139.59379643838437,,0.0,0.0,6.650683440783864
23,trial_023_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452133445101207,516,2,0.0019264000002294779,7997.354741504514,3.0009923000470735,7997.354741504514,122,3347,1688.6152083333334,864.708799749886,370.103309802775,284.99779072460126,66.98504099774215,740.3050804533449,959.1346314356266,225.43217772222482,,0.0,0.0,4.254648298777747
24,trial_024_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06450368294926011,516,2,0.0018822000129148364,7999.54322617355,3.0001712999655865,7999.54322617355,102,3346,1689.98825,882.551416908433,370.1770411152114,259.75945372696526,49.0192965357808,740.4449460536406,970.809557592162,183.20180805970136,,0.0,0.0,5.299126509034218
25,trial_025_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06466850339606268,517,3,0.0025341000000480562,7994.618289426462,3.002019500010647,7994.618289426462,124,3347,1692.6870833333332,875.9657715446789,370.88252971485554,244.89615904249357,30.96006910731351,738.7704280245852,1022.9486580431349,129.32240860810603,1109.567139413796,176.69114585597728,22.33750871283476,7.910064999972601
26,trial_026_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452445839977008,516,2,0.0014955999795347452,7996.967549933571,3.001137599989306,7996.967549933571,116,3350,1696.638,905.996146146164,370.2482950056575,325.7853247344978,65.92795446652165,740.1728919813229,958.0782390808364,193.88270043459727,,0.0,0.0,4.94153545898246
27,trial_027_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.15971783790076732,1277,763,0.5662455999990925,7995.349904457134,3.0017448000144213,7995.349904457134,122,3358,1699.568125,873.4022971543596,369.1177445796717,274.20895959596504,30.140720600837824,739.1205731642682,1098.1344810871556,120.70562765477568,1107.729742613283,200.46002094474616,22.034325544418135,9.097624546784818
28,trial_028_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06452348874989548,516,2,0.0018246000108774751,7997.087727232292,3.0010924999951385,7997.087727232292,127,3367,1713.454375,903.9533966090257,370.1855124352862,267.1815683074401,44.93021552313604,740.2076255154365,978.2198919418751,164.50098280504548,,0.0,0.0,5.946589955035038
29,trial_029_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06451870284974574,516,2,0.0020456000056583434,7997.680939148538,3.0008698999881744,7997.680939148538,125,3353,1701.5334583333333,871.2177748115973,370.54896251196163,227.88859787035284,34.37084931000371,740.2669225050998,919.7700083022013,138.72250147943254,,0.0,0.0,6.630287073064131
30,trial_030_raw.npy,True,F#4 / Gb4,F#4 / Gb4,True,False,0.06451817610074068,516,2,0.0019400000164750963,7997.746235019131,3.00084540003445,7997.746235019131,117,3361,1706.5610416666666,896.5000508671478,369.92508664929966,276.163315548836,44.54097002732673,740.3143299243907,947.7282179789518,152.85424158223313,,0.0,0.0,6.200208827499819
