trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
11,trial_011_raw.npy,True,E4,E4,True,False,0.06625812004179656,530,16,0.008315599989145994,7999.01958681696,3.0003677000058815,7999.01958681696,0,2963,1487.0029583333333,764.2468856138737,330.39010992097303,402.11964910690926,30.538800837419007,660.051593682581,565.6723141819921,42.95973643768144,,0.0,0.0,13.167499642428478
12,trial_012_raw.npy,True,E4,E4,True,False,0.08196613506382466,655,142,0.08103250002022833,7991.105100783029,3.0033393000485376,7991.105100783029,0,3099,1514.3829583333334,924.152517289606,329.3667157566273,502.9547855474783,30.63910479971025,658.3501606604524,692.5076489412845,42.18632576965517,987.757520515936,409.5582124331256,24.94955282841417,16.415453024340145
13,trial_013_raw.npy,True,E4,E4,True,False,0.07276285735050624,582,68,0.04050460000871681,7998.586383110899,3.000530200020876,7998.586383110899,0,3088,1502.4812083333334,877.1671188566672,329.3149061070993,493.97660967052985,30.658327186771373,659.2769441345044,738.4521839342739,45.83153984141671,988.982834458296,421.40581423873755,26.154269409549705,16.11231449978372
14,trial_014_raw.npy,True,E4,E4,True,False,0.06626315945827325,530,16,0.00813829997787252,7998.41124891951,3.000595899997279,7998.41124891951,0,3089,1503.0675833333332,885.4041359944025,329.87594633954393,492.6551197137723,39.16863125775082,659.7957973433663,700.3936019196263,55.684915534454056,,0.0,0.0,12.577797688967854
15,trial_015_raw.npy,True,E4,E4,True,False,0.06625339420847012,530,16,0.008372400014195591,7999.5901543145765,3.0001537000061944,7999.5901543145765,0,3104,1518.8341666666668,941.2070194843086,330.1134897768028,489.72879074092765,54.97209299049523,659.9664936423972,710.2760107264158,79.72853474981008,,0.0,0.0,8.908680097474234
16,trial_016_raw.npy,True,E4,E4,True,False,0.1032536619331707,826,312,0.23989749999600463,7999.716276741985,3.000106399995275,7999.716276741985,0,3101,1517.9547083333334,932.1696765716771,329.4790414180665,488.0300697822563,30.751157879376862,659.1434661611106,670.4771169170998,42.2472895697313,988.5653954950368,381.0507244217509,24.010305332153568,15.870298988304166
17,trial_017_raw.npy,True,E4,E4,True,False,0.1334300082954675,1067,553,0.331294399977196,7996.701893604281,3.0012372999917716,7996.701893604281,0,3098,1505.8664166666667,882.1748853038366,329.5589423136533,504.5708899707638,30.290153092102837,659.2191466664062,705.7120755588828,42.36496245128766,988.3865973802817,363.38482809067256,21.81454042037922,16.657918117367128
18,trial_018_raw.npy,True,E4,E4,True,False,0.066271621791772,530,16,0.008029399992665276,7997.389918497551,3.00097910000477,7997.389918497551,0,3088,1502.7197083333333,879.2537629683873,329.92745041077353,517.6026892129589,84.34176156201305,659.734326198841,700.6859710537284,114.17461758230284,,0.0,0.0,6.136967969685894
19,trial_019_raw.npy,True,E4,E4,True,False,0.06626697325070079,530,16,0.011563600011868402,7997.950924888442,3.0007686000317335,7997.950924888442,0,3088,1508.5336666666667,899.8795440222143,329.9070756253491,489.4130229975417,78.37921773099389,659.751691402185,695.9022585632962,111.44835155662986,,0.0,0.0,6.244168252319908
20,trial_020_raw.npy,True,E4,E4,True,False,0.06628449858251163,530,16,0.00903039998956956,7995.836301609048,3.001562199962791,7995.836301609048,0,3095,1511.939875,913.9149261722866,329.8416017383908,489.43787929210197,70.83609738493303,659.7357482126628,673.5067964945005,97.47629892255577,,0.0,0.0,6.909441617491005
