trial,raw_file,detected,detected_note,actual_note,matches_actual_note,is_false_positive,detection_audio_time_s,samples_to_detection,progressive_fft_checks,analysis_wall_time_s,sample_rate_hz,recording_wall_time_s,effective_received_rate_hz,adc_min,adc_max,adc_mean,adc_std,fundamental_frequency_hz,fundamental_magnitude,fundamental_peak_to_median,second_harmonic_frequency_hz,second_harmonic_magnitude,second_harmonic_peak_to_median,third_harmonic_frequency_hz,third_harmonic_magnitude,third_harmonic_peak_to_median,median_spectral_magnitude
13,trial_013_raw.npy,True,F4,F4,True,False,0.06539774832154217,523,9,0.00600940000731498,7997.2172348894555,3.0010439000325277,7997.2172348894555,0,2985,1515.9845416666667,710.1071365590533,349.66246850602323,336.96441584453504,43.75283314314808,698.9609711563584,539.6750290780942,70.07360536749208,,0.0,0.0,7.701545057484019
14,trial_014_raw.npy,True,F4,F4,True,False,0.06539379095518477,523,9,0.005085800017695874,7997.701193962265,3.0008623000467196,7997.701193962265,0,3070,1515.9918333333333,715.8375057038056,350.004008926404,319.7576460909353,33.73037671736151,699.1528921281622,538.1673081094397,56.7698263400944,,0.0,0.0,9.479812477942218
15,trial_015_raw.npy,True,F4,F4,True,False,0.0653923069415323,523,9,0.007560199999716133,7997.882693871281,3.000794199993834,7997.882693871281,0,3087,1519.7847083333334,727.7799973295637,349.7009083326028,341.0431304115748,64.63925119678727,699.0325602842132,499.135842852473,94.60318725237143,,0.0,0.0,5.276099646843147
16,trial_016_raw.npy,True,F4,F4,True,False,0.06539882700837674,523,9,0.007616800023242831,7997.085328961795,3.0010934000019915,7997.085328961795,0,3090,1521.5058333333334,741.7001975294766,349.57731820258664,344.0074373673172,30.661803691941813,698.9900704116295,519.7000028077439,46.32149696164263,,0.0,0.0,11.219412948551534
17,trial_017_raw.npy,True,F4,F4,True,False,0.06550901280000107,524,10,0.006398500001523644,7998.899351449109,3.000412800000049,7998.899351449109,0,3089,1522.5476666666666,743.344472257921,349.95259423861614,320.19309530980405,36.953908749506304,698.9927015529912,536.8169375004109,61.95475297300143,,0.0,0.0,8.664661091205453
18,trial_018_raw.npy,True,F4,F4,True,False,0.06875256666620165,550,36,0.0294780999829527,7999.701344537247,3.0001119999797083,7999.701344537247,0,3091,1523.9419166666667,749.22249158082,349.2399148862321,341.8856911642545,30.47696173601342,698.629473493284,545.2569760682898,48.60623426308841,1047.4619730619147,474.77811946985895,42.323486926007305,11.217840351857047
19,trial_019_raw.npy,True,F4,F4,True,False,0.06541006279227926,523,9,0.007884099992224947,7995.711633252443,3.001609000028111,7995.711633252443,0,3081,1523.6887083333334,727.422941321952,349.52252664060615,340.2049147373909,54.966908814357076,698.7888414905802,511.43282813919984,82.63220315525459,,0.0,0.0,6.189267726267538
20,trial_020_raw.npy,True,F4,F4,True,False,0.0655072923329426,524,10,0.006675900018308312,7999.109432530897,3.0003339999821037,7999.109432530897,0,3071,1522.253625,723.0305519813727,350.7929387644362,322.4504329865251,40.85034527293946,699.0824352996165,498.0198274561297,63.09274177716115,,0.0,0.0,7.893456734137478
21,trial_021_raw.npy,True,F4,F4,True,False,0.06551092103261423,524,10,0.010200599994277582,7998.666355784094,3.000500199967064,7998.666355784094,0,3088,1525.05525,739.7490610395023,349.72872524024064,323.2646946979957,31.485041506239536,699.0693960730272,479.06364720944197,46.65940656034559,,0.0,0.0,10.267246896718648
22,trial_022_raw.npy,True,F4,F4,True,False,0.06550218551678699,524,10,0.0063596999971196055,7999.73307555835,3.000100100005511,7999.73307555835,0,3087,1524.6374583333334,733.4320666996996,349.62059296262623,329.9726262493324,38.21320530693188,699.1506616377781,510.8424468878521,59.15923246212134,,0.0,0.0,8.635041829099725
23,trial_023_raw.npy,True,F4,F4,True,False,0.06540910613843881,523,9,0.006953899981454015,7995.828576117017,3.0015651000430807,7995.828576117017,0,3024,1520.6566666666668,730.7977201958024,349.5885639562289,306.3640015982614,102.46933821645707,698.7870201390394,491.542091982804,164.40571545040373,,0.0,0.0,2.989811459024899
24,trial_024_raw.npy,True,F4,F4,True,False,0.06550280776644164,524,10,0.007433699996909127,7999.657081393927,3.0001285999896936,7999.657081393927,0,3039,1520.3329166666667,726.1241452703462,349.9369761345344,304.1464935538644,41.53059918808406,698.9425462691651,506.4652156537434,69.15681857202502,,0.0,0.0,7.323431385529586
25,trial_025_raw.npy,True,F4,F4,True,False,0.0653936013675096,523,9,0.0072632999799679965,7997.724380719752,3.000853600038681,7997.724380719752,0,2919,1525.730875,740.5843463637262,349.4609519512047,323.7755721545758,78.64533705756241,698.9720933122571,504.9035829569871,122.64147106275756,,0.0,0.0,4.116907426025737
26,trial_026_raw.npy,True,F4,F4,True,False,0.06542516877520878,523,9,0.004711599991424009,7993.8655075839515,3.0023022000095807,7993.8655075839515,0,2960,1523.098625,727.4282479911277,349.711376285444,319.80730689406494,52.69353527693031,698.6236798472728,478.68644643184706,78.87149732948473,,0.0,0.0,6.069194355879161
27,trial_027_raw.npy,True,F4,F4,True,False,0.0859285373386083,687,173,0.12577720000990666,7995.015640645917,3.0018703000387177,7995.015640645917,0,3083,1522.5719583333334,727.5875055994485,349.13661012711253,341.5107614892933,30.550390143794207,697.8986008034484,549.2194222442116,49.13129984817754,1047.1711357945842,550.0563285416883,49.20616663653353,11.178605572036055
28,trial_028_raw.npy,True,F4,F4,True,False,0.06551562175076106,524,10,0.005864499980816618,7998.092454856585,3.0007155000348575,7998.092454856585,0,2939,1520.9042083333334,728.2551247760442,349.4137658811001,327.7986593848396,44.42313739032848,699.1063638483358,542.3642925700407,73.50098237028219,,0.0,0.0,7.379007396632139
29,trial_029_raw.npy,True,F4,F4,True,False,0.06541375429954739,523,9,0.008139599987771362,7995.2604096844925,3.00177839997923,7995.2604096844925,0,3092,1521.61125,744.58469955118,349.5105759647505,325.0345605258308,76.58997523388807,698.7468789433617,421.3949752392467,99.29599690890068,,0.0,0.0,4.243826421581289
30,trial_030_raw.npy,True,F4,F4,True,False,0.0654037693592254,523,9,0.004670700000133365,7996.481015145486,3.0013202000409365,7996.481015145486,0,3083,1522.319,740.478448934351,349.1646255516943,327.365285330034,43.2087106283005,698.5411580441264,500.7182496886565,66.08944480870815,,0.0,0.0,7.5763724621678215
